image_name,bolt_count,nut_count,washer_count,layout
s07_011,2,4,6,spread
s07_012,2,4,6,spread
s07_013,3,5,0,spread
s07_014,3,5,0,spread
s07_015,3,5,0,spread
s07_016,3,5,0,spread
s07_017,4,6,1,spread
s07_018,4,6,1,spread
s07_019,4,6,1,spread
s07_020,4,6,1,spread
s07_021,5,0,2,spread
s07_022,5,0,2,spread
s07_023,5,0,2,spread
s07_024,5,0,2,spread
s07_025,6,1,3,spread
s07_026,6,1,3,spread
s07_027,6,1,3,spread
s07_028,6,1,3,spread
s07_029,0,0,0,none
s07_030,1,1,1,tight
s07_031,2,2,2,tight
s07_032,3,3,3,spread
s07_033,4,4,4,spread
s07_034,5,5,5,spread
s07_035,6,6,6,tight
s07_036,0,0,0,none
s07_037,0,0,0,none
s07_038,0,0,0,none
s07_039,0,0,0,none
s07_040,0,0,0,none
